test_id,n,b,vars_fixed,vars_fixed_percent,time_without_preprocessing_ms,time_with_preprocessing_ms,speedup
0,43,236,0,0.00,0.050049,0.186035,0.27
1,77,965,0,0.00,0.176025,0.302002,0.58
2,53,685,0,0.00,0.108887,0.235840,0.46
3,46,992,0,0.00,0.145996,0.218994,0.67
4,29,171,0,0.00,0.031006,0.148193,0.21
5,62,477,0,0.00,0.093018,0.256836,0.36
6,70,459,0,0.00,0.089844,0.302002,0.30
7,23,326,0,0.00,0.046143,0.129883,0.36
8,80,276,0,0.00,0.069092,4.866211,0.01
9,72,686,0,0.00,0.125977,0.274902,0.46
10,31,768,0,0.00,0.105957,0.142090,0.75
11,27,879,0,0.00,0.108154,0.139160,0.78
12,42,480,0,0.00,0.077148,0.175049,0.44
13,82,323,0,0.00,0.485840,0.982178,0.49
14,87,735,0,0.00,0.968018,0.443848,2.18
15,29,852,0,0.00,0.114014,0.164062,0.69
16,42,208,0,0.00,0.041016,0.196045,0.21
17,49,967,0,0.00,0.143066,0.256104,0.56
18,53,806,0,0.00,0.123047,0.256104,0.48
19,71,142,0,0.00,0.044922,0.282959,0.16
